UT,Origin,Target,PhaseAngle
16882249,6,4,-159.73
17243462,4,15,97.27
17363782,4,6,92.97
17460432,5,15,81.80
17557526,8,4,122.66
17856319,1,4,120.81
17920285,5,6,72.69
18121878,16,4,154.99
18548400,4,8,107.95
18597264,4,16,127.59
18971994,4,1,83.68
19220819,6,4,173.04
19223462,8,5,-152.04
19495851,15,4,-112.61
19643395,5,4,-133.39
19691531,4,15,90.54
19706267,8,4,107.39
20054630,5,8,101.07
20074059,4,6,88.56
20123778,5,16,122.93
20718010,4,5,64.47
20799521,4,8,108.59
20829580,4,16,127.39
20870947,1,4,125.62
20950722,1,15,60.35
21126389,16,4,-56.64
21750541,6,4,174.49
21850479,8,4,91.45
22050678,15,4,-97.56
22065411,6,16,113.45
22078479,4,1,67.38
22163684,4,15,86.42
22332645,6,8,86.29
22727028,4,6,87.55
22895341,6,1,-70.55
23048848,4,8,109.21
23062181,4,16,127.14
23320407,1,4,86.23
23327098,16,6,-88.47
23667998,16,5,95.51
23775863,5,4,-76.02
23991617,8,4,74.89
24157694,15,5,-81.41
24187341,1,16,119.08
24257076,4,5,45.20
24276098,16,4,88.80
24294025,1,8,96.84
24295868,5,15,74.02
24351039,15,4,-111.67
24375057,6,5,-153.97
24585948,8,6,-44.46
24603444,4,15,86.41
24693588,6,4,-163.79
24704041,8,5,177.47
25071272,1,6,34.07
25113873,4,1,79.00
25247275,4,6,88.86
25295118,4,16,126.83
25296652,4,8,109.82
25464698,8,1,-55.05
25939038,5,16,121.86
26005084,5,8,102.65
26131368,8,4,57.75
26462489,1,4,115.87
26464784,15,4,-144.02
26626706,1,5,-51.27
26635435,15,1,104.65
26648013,5,6,59.42
26732871,16,1,-24.32
26981197,5,4,-162.10
26991783,4,15,89.43
27263398,5,1,35.73
27528448,4,16,126.45
27543183,4,8,110.40
27585104,16,4,-113.27
27667013,6,4,-96.80
27689498,4,6,91.76
27698705,4,5,72.78
27765203,4,1,84.40
28271608,8,4,40.15
28459985,15,4,168.72
29337996,4,15,93.79
29672772,1,4,127.83
29762236,4,16,126.00
29788669,4,8,110.95
29991316,15,5,-126.82
30112002,4,6,94.86
30117276,6,4,-93.80
30184651,8,5,147.65
30388523,15,4,112.58
30414342,8,4,22.40
30674146,5,4,-120.77
30726668,5,15,85.91
30738328,4,1,69.20
31066563,16,4,93.51
31655160,4,15,98.37
31700112,4,5,60.47
31773052,5,16,120.25
31947426,5,8,104.09
31996555,4,16,125.47
32033322,4,8,111.46
32150257,1,4,92.67
32283783,6,5,177.81
32285576,15,4,34.53
32367283,6,4,-131.04
32432415,1,15,81.20
32498017,16,5,-75.14
32561643,8,4,6.65
32577083,4,6,95.52
33891997,1,16,115.83
33894019,4,1,76.95
33953044,4,15,102.62
34174810,15,4,-59.36
34231489,4,16,124.86
34277341,4,8,111.92
34279395,1,8,99.49
34459457,15,6,-153.37
34621262,6,4,-164.56
34686376,8,1,-84.89
34715618,8,4,-15.38
34729921,16,4,-13.15
34738340,5,6,73.14
34754649,5,4,-71.25
34904080,4,5,56.79
35021850,15,5,152.28
35052741,1,4,107.63
35174071,4,6,92.07
35681512,15,1,21.10
35713567,8,5,121.32
36057665,8,15,-68.81
36074084,15,4,-133.65
36238129,4,15,106.32
36467133,4,16,124.16
36520914,4,8,112.34
36562759,4,1,84.63
36878344,8,4,-31.74
36939882,5,15,97.91
36986800,6,4,172.75
37631901,5,16,117.95
37700861,5,4,-166.20
37886127,5,8,105.26
37891398,4,6,88.10
37999388,15,4,168.70
38460232,1,4,128.60
38514692,4,15,109.45
38575966,16,4,-153.01
38699738,4,5,72.14
38703601,4,16,123.35
38764219,4,8,112.70
39051843,8,4,-46.93
39410213,4,1,72.61
39571046,6,4,176.23
39966927,15,4,130.39
40013759,15,5,76.78
40024291,15,8,55.18
40047508,6,15,81.26
40518298,4,6,87.67
40785666,4,15,112.03
40941025,4,16,122.44
40983889,1,4,99.87
41007435,4,8,113.02
41087195,6,5,-157.15
41166100,1,5,-57.11
41238038,8,4,-59.92
41334904,8,5,101.06
41393298,6,16,103.66
41705810,5,4,-108.34
41968466,5,1,36.87
41994143,15,4,97.49
42337199,6,8,92.45
42589017,16,4,125.18
42596263,6,4,-154.31
42658483,16,5,-168.35
42664129,4,1,74.70
42665765,4,5,55.86
43019321,4,6,89.29
43053192,4,15,114.08
43078171,1,15,97.22
43095780,5,15,104.63
43179561,4,16,121.41
43210438,6,1,-63.50
43250737,4,8,113.27
43352868,16,1,-124.09
43438719,8,4,-70.02
43450971,5,6,58.58
43523978,5,16,114.75
43682281,1,4,96.68
43733863,1,16,110.02
43825550,5,8,106.08
44100361,15,4,72.91
44156732,8,6,-56.30
44158077,8,1,-104.52
44252829,1,8,101.11
44540327,15,1,-48.77
44655940,1,6,40.13
45318981,4,15,115.63
45362358,4,1,84.43
45419396,4,16,120.24
45424654,15,5,29.41
45453682,4,6,92.39
45466990,6,4,-89.41
45494303,4,8,113.47
45655514,8,4,-76.71
45701918,5,4,-73.00
45756176,4,5,65.70
46307324,15,4,59.28
46726949,16,4,79.73
47087958,8,5,89.10
47229330,1,4,128.17
47584555,4,15,116.66
47660757,4,16,118.92
47738319,4,8,113.61
47856579,6,4,-99.58
47878803,4,6,95.24
47889856,8,4,-79.71
48117413,4,1,76.26
48610402,5,4,-158.62
48639463,15,4,58.94
49163062,6,5,-177.36
49281575,5,15,106.32
49460778,5,16,110.31
49701884,4,5,70.60
49769849,5,8,106.49
49817482,1,4,107.09
49851460,4,15,117.14
49903917,4,16,117.43
49982979,4,8,113.68
50096108,6,4,-138.30
50142932,8,4,-79.03
50360863,4,6,95.19
50913814,16,4,42.56
51123163,15,4,74.00
51421092,4,1,72.35
51560295,5,6,73.40
51765762,15,5,35.57
52121484,4,15,116.99
52149212,4,16,115.76
52228494,4,8,113.70
52364170,6,4,-168.45
52378420,1,4,86.70
52415653,8,4,-74.99
52732568,5,4,-96.56
52989734,4,6,91.15
53005278,8,5,87.33
53605052,4,5,50.89
53782977,15,4,115.36
53793178,16,5,153.29
53801751,1,16,99.98
53950979,1,15,94.87
54076007,8,1,-107.52
54162161,4,1,83.83
54246265,1,8,101.39
54396969,4,15,116.09
54397059,4,16,113.88
54475089,4,8,113.65
54708600,8,4,-68.27
54759704,6,4,172.53
55044309,16,4,-3.88
55457105,5,16,104.24
55589868,5,15,102.31
55704613,4,6,87.78
55722894,5,8,106.46
55974706,1,4,126.87
55975066,1,5,-52.26
56337605,15,1,-16.62
56598135,5,4,-87.65
56630361,15,4,-125.76
56647969,4,16,111.78
56681306,4,15,114.30
56701829,4,5,70.08
56708005,5,1,35.17
56723014,4,8,113.54
56858593,4,1,79.29
57021975,8,4,-59.69
57408786,6,4,178.70
57788409,6,5,-160.93
58305096,4,6,87.84
58648157,1,4,113.77
58902577,4,16,109.42
58972545,4,8,113.36
58979824,4,15,111.41
59006555,16,4,-87.54
59108549,8,5,97.02
59355547,8,4,-50.02
59596843,5,4,-147.72
59638530,15,4,-18.01
59763665,15,5,135.06
59979699,15,6,-143.35
60160913,4,1,70.06
60247285,5,6,58.04
60490128,6,4,-142.23
60701645,4,5,68.23
60789109,4,6,89.77
61130945,1,4,81.03
61161658,4,16,106.80
61223988,4,8,113.11
61301330,4,15,107.17
61527825,5,16,96.18
61688112,5,8,105.97
61708599,8,4,-39.74
62169089,5,15,90.06
62404430,16,1,-148.56
62428256,16,6,-72.48
62433836,6,16,72.37
62464734,6,8,91.09
62709150,15,4,65.89
62713765,16,4,100.49
62888042,6,1,-67.59
62960546,4,1,82.87
63217532,4,6,93.02
63249899,6,4,-85.90
63426136,4,16,103.91
63477679,4,8,112.79
63660083,4,15,101.44
63749813,5,4,-85.94
64043409,1,6,47.57
64079883,8,4,-29.00
64205339,16,5,63.68
64210577,1,16,83.93
64288644,1,8,100.26
64497537,4,5,46.25
64563335,8,1,-90.40
64689115,1,4,124.99
65401592,8,5,118.19
65528073,8,6,-35.43
65591258,6,4,-106.17
65623570,4,1,81.55
65647440,4,6,95.52
65678476,15,4,-151.83
65697039,4,16,100.74
65733990,4,8,112.40
66045434,6,5,-175.21
66073310,4,15,94.57
66123621,16,4,-37.53
66205612,1,15,65.10
66467581,8,4,-17.59
67398715,5,4,-122.61
67473526,1,4,119.48
67668181,5,8,105.05
67672363,5,16,86.60
67680849,4,5,72.16
67826112,6,4,-145.24
67975366,4,16,97.36
67993325,4,8,111.95
68149972,4,6,94.71
68385626,5,6,73.47
68406355,15,4,-102.10
68537476,4,15,88.49
68655735,15,5,-95.52
68869291,8,4,-5.56
68878668,4,1,68.18
69053637,5,15,74.48
69084529,6,15,30.24
69235545,16,4,58.01
69921106,1,4,80.36
70111465,6,4,-171.22
70256104,4,8,111.42
70261746,4,16,93.87
70609282,1,5,-54.41
70614582,5,4,-135.53
70809223,4,6,90.26
70856659,15,4,-100.30
71002466,4,15,85.95
71282034,8,4,11.83
71294914,5,1,36.81
71695637,4,5,65.08
71755944,4,1,81.56
71861088,8,5,148.75
72075215,16,4,175.99
72219846,15,1,110.97
72522754,4,8,110.82
72538203,16,5,-154.41
72540518,6,4,172.59
72555863,4,16,90.49
73076438,15,4,-122.41
73363565,1,4,122.49
73422370,4,15,87.32
73512984,4,6,87.59
73664522,5,8,103.74
73702306,8,4,31.56
73837361,5,16,78.41
74402272,1,8,97.85
74403846,4,1,83.12
74485432,6,5,-165.08
74679180,16,4,-113.37
74752901,5,4,-77.23
74790755,1,16,69.53
74793673,4,8,110.16
74855846,4,16,87.52
75137212,15,4,-159.65
75266197,6,4,-177.86
75287621,4,5,44.58
75347130,15,5,-97.26
75571370,8,1,-56.09
75674091,5,15,79.41
75792853,4,15,91.02
76087824,4,6,88.07
76126164,8,4,58.93
76291342,1,4,123.92
76321363,16,1,-16.73
77036893,5,6,57.84
77069183,4,8,109.45
77085082,16,4,-94.63
77101584,15,4,149.44
77158225,4,16,85.29
77569727,4,1,67.25
78028527,5,4,-158.74
78112789,1,15,75.58
78126474,4,15,95.57
78365518,6,4,-128.04
78428957,8,5,-175.78
78549365,8,4,95.73
78557017,4,6,90.31
78674696,4,5,72.79
78734167,1,4,83.58
79014595,15,4,85.51
79105010,16,5,-123.82
79327024,16,4,-100.17
79349469,4,8,108.69
79458933,4,16,84.03
79676624,5,8,102.16
79922993,5,16,76.18
80435258,4,15,100.06
80546704,4,1,79.93
80615478,15,5,-168.91
80906263,15,4,-2.91
80967546,8,4,136.82
80981401,4,6,93.63
81018756,6,4,-85.60
81434093,16,4,-123.79
81634504,4,8,107.91
81644412,5,4,-122.91
81754726,4,16,83.79
81852195,15,1,39.82
81959740,5,15,92.95
81991296,1,4,118.71
82177566,6,1,-75.47
82679885,4,5,61.19
82727588,4,15,104.11
82797417,15,4,-91.29
82929432,6,5,-172.54
83193724,4,1,84.10
83322722,6,4,-113.27
83376435,8,4,170.01
83384796,1,6,52.72
83418440,4,6,95.68
83430392,16,4,-168.24
83575239,6,8,81.79
83923977,4,8,107.13
84043894,4,16,84.46
84240393,6,16,62.02
84580285,16,5,-156.80
84591413,1,8,94.71
84704843,15,4,-155.35
84927914,1,16,73.78
85008972,4,15,107.60
85014631,8,5,-141.00
85099226,1,4,126.90
85213806,5,6,73.35
85267197,1,5,-55.48
85335644,16,4,114.91
85558020,6,4,-151.71
85561066,15,5,109.67
85701390,5,8,100.50
85735893,5,4,-71.72
85772086,8,4,-163.16
85800456,16,1,-43.26
85896671,5,16,80.01
85926100,4,5,54.57
85945057,4,6,94.07
86092874,5,1,35.92
86217246,4,8,106.38
86235847,4,1,68.02
86326056,4,16,85.84
86644446,15,4,154.02
86648784,16,6,-26.04
86727447,15,6,-176.30
86763112,8,1,-17.62
87165939,16,4,21.06
87283088,4,15,110.51
87560155,1,4,89.25
87863628,6,4,-172.71
88129405,5,15,102.16
88151097,8,4,-148.04
88193984,8,6,-10.56
88513341,4,8,105.68
88601608,4,16,87.72
88630508,4,6,89.46
88632817,15,4,116.85
88706642,5,4,-166.78
88807494,1,15,95.48
88934428,16,4,-51.17
89330962,4,1,78.02
89411363,16,5,132.46
89552510,4,15,112.88
89675137,4,5,72.32
90330580,6,4,173.05
90507157,15,1,-39.49
90510814,8,4,-138.26
90583457,1,4,112.26
90651917,16,4,-113.64
90688056,15,4,86.91
90723121,15,5,46.49
90811027,4,8,105.06
90871271,4,16,89.92
91185291,6,5,-169.32
91316212,4,6,87.52
91514338,8,5,-112.00
91732932,5,8,99.00
91790917,5,16,86.64
91819179,4,15,114.74
91989406,4,1,84.57
92327346,16,4,164.93
92676387,5,4,-110.42
92830360,15,4,66.21
92849464,8,4,-132.45
93108931,4,8,104.55
93135826,4,16,92.30
93143855,6,4,-173.20
93260501,6,15,85.18
93462619,16,1,-130.73
93648884,4,5,56.68
93820201,5,6,58.02
93856578,16,5,39.70
93866905,4,6,88.36
93894399,1,4,128.38
93968170,16,4,28.56
94084708,4,15,116.09
94291473,5,15,106.16
94706061,1,16,86.32
94824755,1,8,92.03
94897373,4,1,70.77
95082508,15,4,57.49
95166226,8,4,-129.74
95396003,4,16,94.74
95405691,4,8,104.16
95580661,16,4,-74.01
96217829,6,4,-113.46
96323409,4,6,90.89
96350604,4,15,116.91
96392431,1,4,96.18
96554559,15,5,23.92
96689537,5,4,-72.02
96747461,4,5,64.60
97170142,16,4,-150.29
97461210,8,4,-129.63
97469870,15,4,62.71
97621154,8,1,6.82
97637048,5,16,93.63
97652440,4,16,97.18
97700101,4,8,103.90
97763315,5,8,97.95
97842035,8,5,-93.22
98068926,16,5,-67.35
98106502,4,1,75.87
98618477,4,15,117.16
98741173,16,4,95.91
98745653,4,6,94.19
98776275,6,4,-87.78
99186673,1,4,102.38
99568635,1,15,97.04
99594138,5,4,-160.24
99735351,8,4,-131.82
99813546,6,5,-169.65
99905678,4,16,99.55
99991204,4,8,103.78
100018855,15,4,85.38
100058655,1,5,-51.41
100297698,16,4,-49.87
100366391,16,1,117.93
100528670,5,15,105.00
100579820,16,6,-136.52
100677355,4,5,70.92
100691580,5,1,35.85
100788222,4,1,84.58
100890284,4,15,116.74
100938185,16,15,-167.85
101052193,6,4,-120.66
101192391,4,6,95.72
101354094,6,1,-82.71
101355701,15,1,-37.90
101843156,16,4,-135.99
101990227,8,4,-136.06
102044306,5,6,73.05
102144694,16,5,-177.33
102156168,4,16,101.83
102278337,4,8,103.79
102673377,1,4,128.52
102750925,15,4,147.94
102792202,1,6,54.02
103168696,4,15,115.52
103292486,6,4,-157.59
103380582,16,4,126.94
103406876,6,16,89.82
103453608,5,16,99.95
103585469,4,1,74.46
103691856,15,5,74.93
103704322,5,4,-98.50
103746537,4,6,93.30
103784425,5,8,97.57
103953279,8,5,-87.34
104227811,8,4,-142.15
104331191,1,16,97.64
104404289,4,16,104.00
104561126,4,8,103.92
104593670,4,5,51.74
104912674,16,4,-31.09
105037588,1,8,91.28
105226450,1,4,103.47
105367791,6,8,77.76
105457717,4,15,113.33
105621159,6,4,173.08
105666668,15,4,-73.87
106148752,16,5,66.93
106441858,16,4,-129.42
106450219,8,4,-149.84
106451435,4,6,88.79
106650355,4,16,106.04
106839447,4,8,104.16
106870566,4,1,73.55
106959591,5,15,96.94
106965965,16,1,-1.27
107596576,5,4,-83.82
107683675,4,5,69.53
107763789,4,15,109.95
107832325,8,1,7.44
107848664,1,4,91.37
107894159,6,5,-173.42
107970339,16,4,142.38
108131685,6,4,173.98
108659462,8,4,-158.90
108715127,15,4,10.54
108894631,4,16,107.96
109113366,4,8,104.50
109114297,4,6,87.53
109152302,8,6,-16.24
109251226,5,16,105.30
109500135,16,4,-9.89
109588133,4,1,84.18
109790204,5,8,97.92
109848594,8,5,-94.36
110097620,4,15,105.14
110127976,16,5,-50.72
110571933,5,4,-149.69
110598173,5,6,58.59
110857272,8,4,-169.12
111033121,16,4,-122.04
111038377,6,4,-166.87
111137339,4,16,109.75
111383091,4,8,104.93
111431550,1,4,127.62
111433100,1,15,72.96
111642762,4,6,88.71
111677756,4,5,68.69
111767463,15,4,119.29
112310573,4,1,77.85
112475579,4,15,98.86
112558124,15,5,-143.57
112571050,16,4,156.05
113045018,8,4,178.36
113073022,16,6,88.55
113378667,4,16,111.43
113501076,16,1,-120.26
113648916,4,8,105.42
113735688,5,15,80.58
113885099,1,16,106.04
114046741,6,4,-100.84
114058924,1,4,110.48
114088638,4,6,91.51
114115581,16,4,24.71
114118751,16,5,-166.18
114599601,1,5,-57.17
114655420,15,4,-123.12
114723499,5,4,-87.64
114911396,4,15,91.97
115036354,5,16,109.71
115176142,1,8,92.83
115223718,8,4,167.22
115410979,5,1,36.81
115496492,4,5,46.96
115560913,8,5,-112.17
115618778,4,16,112.98
115619637,4,1,71.19
115668302,16,4,-106.61
115778013,5,8,98.90
115911183,4,8,105.97
116510676,4,6,94.68
116524809,6,4,-91.81
116574963,1,4,83.26
116696205,6,5,-166.66
117230748,16,4,174.03
117274757,15,4,-97.83
117383438,4,15,87.00
117394144,8,4,154.29
117414539,15,1,106.19
117448846,8,1,-12.34
117857810,4,16,114.43
118151429,16,5,84.07
118170256,4,8,106.56
118387433,4,1,83.40
118418610,5,4,-115.47
118478269,15,6,-93.70
118658816,4,5,71.92
118780743,6,4,-128.11
118804413,16,4,75.30
118876597,5,6,72.57
118969947,4,6,95.60
119556974,8,4,140.59
119628226,15,4,-106.52
119834008,4,15,86.08
120095882,4,16,115.77
120127894,16,1,125.79
120162693,1,4,126.01
120390775,16,4,-70.64
120410881,15,5,-81.87
120426492,4,8,107.17
120549306,5,15,74.45
120598223,6,1,-86.80
120813193,5,16,113.30
121030100,6,4,-162.75
121064742,4,1,80.50
121139695,8,5,-137.60
121554418,4,6,92.43
121586102,5,4,-137.65
121712936,8,4,126.16
121748520,5,8,100.30
121778370,15,4,-135.39
121991300,16,4,-157.76
122023033,6,16,105.64
122233821,4,15,88.56
122253234,16,5,-22.68
122333099,4,16,117.01
122399782,1,6,50.26
122672985,4,5,65.67
122680241,4,8,107.80
122887265,1,4,116.73
123384616,6,4,172.87
123403647,1,16,111.98
123487538,6,15,48.94
123607465,16,4,128.91
123752909,1,15,69.56
123795533,15,4,-173.73
123862929,8,4,111.04
124270098,4,6,88.26
124349232,4,1,69.05
124569553,4,16,118.16
124588478,4,15,92.74
124616643,6,5,-177.18
124931826,4,8,108.44
125232428,1,8,95.71
125240763,16,4,15.11
125348226,1,4,80.12
125729363,5,4,-78.53
125735724,15,4,127.16
125837538,16,6,-37.46
125946154,6,4,175.46
126008082,8,4,95.26
126096243,6,8,85.89
126146722,15,5,-132.05
126311306,4,5,44.35
126450310,16,5,-124.62
126584686,5,16,116.19
126639465,8,5,-167.23
126714576,8,1,-42.92
126805324,4,16,119.22
126892722,16,4,-106.52
126907439,4,6,87.61
126911309,4,15,97.33
126956287,5,15,86.90
126971784,16,1,21.66
127140309,15,8,60.00
127181549,4,8,109.07
127184543,4,1,82.26
127372325,5,6,59.51
127637595,15,4,54.70
127704652,5,8,101.87
127998785,15,1,58.72
128087015,8,15,-55.39
128149801,8,4,78.84
128399806,8,6,-43.34
128564912,16,4,-176.99
128858559,1,4,123.86
128941113,6,4,-158.37
129040485,4,16,120.21
129077533,5,4,-154.36
129212944,4,15,101.68
129415809,4,6,89.11
129417251,1,5,-51.98
129429688,4,8,109.68
129526912,15,4,-38.52
129650871,4,5,72.76
129838135,4,1,82.40
130136940,5,1,35.16
130258968,16,4,118.22
130289716,8,4,61.82
130769407,16,5,143.19
131155996,15,5,146.48
131275099,4,16,121.11
131422443,15,4,-119.00
131500526,4,15,105.52
131676497,4,8,110.27
131709192,1,4,121.84
131853050,4,6,92.14
131854347,6,4,-91.85
131976597,16,4,25.27
132113777,8,5,162.24
132353048,5,16,118.50
132429665,8,4,44.32
132614731,5,4,-125.07
132906405,1,16,116.09
133054241,4,1,67.55
133161670,5,15,98.56
133340367,15,4,-171.03
133509225,4,16,121.95
133575748,6,5,-163.65
133650475,5,8,103.39
133659223,4,5,61.90
133719587,16,4,-86.89
133778748,4,15,108.79
133922209,4,8,110.82
134151195,1,4,81.55
134155080,16,1,-69.35
134266377,6,4,-97.18
134276884,4,6,95.10
134539816,1,15,93.00
134571625,8,4,26.56
135230832,1,8,98.60
135239472,16,5,62.03
135296725,15,4,138.95
135489841,16,4,-156.52
135710144,5,6,71.93
135742915,4,16,122.72
135901205,8,1,-74.59
135977870,4,1,80.79
136050793,4,15,111.49
136163391,15,5,72.25
136167040,4,8,111.34
136509320,6,4,-135.46
136556779,15,1,-27.11
136716301,5,4,-72.34
136717667,8,4,9.61
136751816,4,6,95.34
136957287,4,5,52.18
137289377,16,4,153.39
137308610,15,4,104.38
137510263,1,4,120.86
137612858,8,5,133.83
137976217,4,16,123.42
138120075,5,16,120.32
138318948,4,15,113.66
138411191,4,8,111.82
138623718,4,1,83.67
138771405,6,4,-167.03
138869882,8,4,-11.63
139120365,16,4,104.25
139317091,5,15,104.91
139348903,15,6,165.23
139368103,4,6,91.51
139394861,15,4,77.69
139590434,5,8,104.71
139718793,5,4,-166.99
139848250,16,6,-124.81
139893389,16,5,-8.94
140093657,6,1,-85.35
140209174,4,16,124.07
140513774,6,16,113.15
140522426,1,4,125.58
140584998,4,15,115.32
140650585,4,5,72.47
140654852,4,8,112.24
140985127,16,4,43.39
141030365,8,4,-27.95
141154676,6,4,172.59
141355571,6,5,179.54
141576628,15,4,61.30
141621014,15,5,27.73
141731906,4,1,67.37
141818618,16,1,-140.80
142085058,4,6,87.89
142375545,1,6,40.84
142406597,1,16,118.82
142441829,4,16,124.66
142850489,4,15,116.47
142886195,16,4,-32.73
142898204,4,8,112.62
142971637,1,4,86.15
143182932,8,5,110.24
143201152,8,4,-43.52
143646843,5,4,-112.52
143776733,6,4,177.62
143877740,15,4,57.76
143887334,5,16,121.72
144033899,1,5,-54.83
144144587,5,6,60.72
144631318,4,5,57.48
144674218,4,16,125.19
144695961,4,6,87.77
144732529,5,1,36.87
144765675,4,1,79.02
144770123,16,5,-65.84
144826306,16,4,-98.06
145116943,4,15,117.08
145141425,4,8,112.95
145204842,1,8,100.65
145226530,1,15,98.22
145254716,8,1,-98.86
145384200,8,4,-57.10
145508089,5,15,106.24
145528963,5,8,105.72
146113310,6,8,92.31
146116941,1,4,115.96
146324301,15,4,68.94
146673059,15,1,-50.15
146691247,6,15,83.07
146808457,16,4,-141.01
146839870,6,4,-147.32
146906379,4,16,125.67
147186445,4,6,89.57
147384691,4,8,113.22
147386070,4,15,117.08
147416848,4,1,84.39
147581316,8,4,-67.93
147675845,5,4,-71.37
147718027,16,15,96.72
147741631,4,5,63.36
147918245,8,6,-56.48
148053602,15,5,39.01
148835945,16,4,-169.68
148865841,8,5,93.89
148941912,15,4,101.85
149138345,4,16,126.10
149324426,1,4,127.81
149616992,4,6,92.78
149628178,4,8,113.43
149643634,6,4,-86.86
149656303,5,16,122.74
149660050,4,15,116.37
149794191,8,4,-75.46
149917646,16,5,-106.20
150147557,16,1,170.71
150391826,4,1,69.16
150450401,6,5,-160.70
150580292,5,4,-161.75
150912395,16,4,170.49
151370148,4,16,126.48
151470330,5,8,106.34
151652772,4,5,71.22
151746666,15,4,-160.60
151801401,1,4,92.57
151829828,5,15,101.75
151872071,4,8,113.58
151915295,1,16,120.45
151941973,4,15,114.80
152002708,6,4,-103.48
152024289,8,4,-79.34
152044734,4,6,95.42
152544407,5,6,71.13
153041835,16,4,157.61
153545939,4,1,76.98
153601821,4,16,126.82
154116562,4,8,113.67
154236614,4,15,112.18
154238766,6,4,-142.54
154272869,8,4,-79.51
154538731,4,6,94.92
154675821,5,4,-100.47
154697841,8,5,86.84
154707046,1,4,107.76
154723586,15,4,-36.23
154987044,8,1,-108.66
155187273,1,8,101.45
155228741,16,4,151.31
155397136,16,5,-125.40
155428477,5,16,123.42
155581123,4,5,52.59
155833395,4,16,127.10
156186643,15,5,145.84
156214361,4,1,84.63
156361856,4,8,113.70
156379893,16,6,-162.40
156516905,6,4,-170.27
156540901,8,4,-76.21
156551806,4,15,108.27
156733581,1,15,80.83
157186300,4,6,90.60
157418559,5,8,106.53
157478113,16,4,151.97
157792856,15,4,42.15
158064900,4,16,127.34
158112103,1,4,128.60
158112218,6,5,176.83
158434635,5,15,88.85
158592675,5,4,-80.61
158608175,4,8,113.67
158666561,4,5,68.92
158711264,1,5,-55.13
158829063,8,4,-70.05
158900439,4,15,102.88
158932221,6,4,172.52
159049600,6,16,115.68
159063333,4,1,72.56
159414037,16,1,161.18
159531044,5,1,35.80
159795567,16,4,160.46
159895404,4,6,87.65
160086709,6,1,-76.15
160296366,4,16,127.54
160635011,1,4,99.77
160706722,8,5,90.72
160800591,15,4,172.29
160855764,4,8,113.57
160917038,5,6,62.14
161137639,8,4,-61.83
161205472,5,16,123.77
161289303,16,5,-118.46
161300048,4,15,96.18
161443865,1,16,121.10
