UT,Origin,Target,PhaseAngle
34279395,1,8,99.49
34459457,15,6,153.37
34738339,5,6,73.14
34754649,5,4,71.25
34904080,4,5,56.79
35174071,4,6,92.07
35477574,15,5,176.22
35572583,6,4,55.07
35718222,15,4,173.77
35966279,1,4,173.18
36057667,8,15,68.81
36205702,16,4,177.99
36218846,8,4,174.49
36238129,4,15,106.32
36467133,4,16,124.16
36520914,4,8,112.34
36562759,4,1,84.63
36648296,16,5,176.07
36665923,8,5,179.31
36939882,5,15,97.91
37631901,5,16,117.95
37700861,5,4,166.20
37886127,5,8,105.26
37891398,4,6,88.10
38065461,15,4,171.29
38113481,6,4,65.25
38113481,4,6,65.25
38443803,16,4,177.89
38482524,8,4,173.93
38514692,4,15,109.45
38699737,4,5,72.14
38703601,4,16,123.35
38736562,1,4,179.37
38764219,4,8,112.70
38923904,16,6,151.81
39410213,4,1,72.61
40024291,15,8,55.18
40047509,6,15,81.26
40391892,15,4,169.61
40575834,15,1,176.34
40654380,4,6,66.85
40682162,16,4,177.81
40746201,8,4,172.36
40785666,4,15,112.03
40941025,4,16,122.44
41007435,4,8,113.02
41166100,1,5,57.11
41393297,6,16,103.66
41495980,8,6,108.90
41705809,5,4,108.34
41744681,1,4,148.34
41790824,15,5,174.37
41845186,16,1,176.61
41968466,5,1,36.87
42020695,6,5,118.24
42059711,8,1,179.41
42337199,6,8,92.45
42358769,6,4,175.10
42484446,16,5,176.62
42625769,8,5,178.92
42664129,4,1,74.70
42665765,4,5,55.86
42701953,15,4,168.67
42920842,16,4,177.73
43009880,8,4,169.77
43053192,4,15,114.08
43078171,1,15,97.22
43095780,5,15,104.63
43179562,4,16,121.41
43195279,4,6,51.46
43210440,6,1,63.50
43250737,4,8,113.27
43450972,5,6,58.58
43523977,5,16,114.75
43733863,1,16,110.02
43825550,5,8,106.08
44252828,1,8,101.11
44655940,1,6,40.13
44688852,1,4,174.06
44999705,15,4,168.40
45007576,6,4,173.27
45159911,16,4,177.66
45273558,8,4,166.34
45318981,4,15,115.63
45362359,4,1,84.43
45419396,4,16,120.24
45494303,4,8,113.47
45701918,5,4,73.00
45736177,6,4,35.24
45736177,4,6,35.24
45756176,4,5,65.70
47288486,15,4,168.74
47399433,16,4,177.61
47534153,1,4,178.68
47537236,8,4,162.26
47584555,4,15,116.66
47660757,4,16,118.92
47738319,4,8,113.61
48028106,15,5,174.84
48117413,4,1,76.26
48277077,6,4,35.54
48277077,4,6,35.54
48347434,16,5,177.33
48580687,8,5,178.39
48610402,5,4,158.62
48909233,15,16,17.82
49281575,5,15,106.32
49460778,5,16,110.31
49570983,15,4,169.66
49639488,16,4,177.57
49701883,4,5,70.60
49769849,5,8,106.49
49800913,8,4,157.74
49851460,4,15,117.14
49903916,4,16,117.43
49982979,4,8,113.68
50424834,6,5,122.79
50515444,1,4,143.16
50817976,6,4,45.28
51387759,15,1,175.30
51421092,4,1,72.35
51560295,5,6,73.40
51612394,16,1,178.80
51849403,15,4,171.12
51880158,16,4,177.56
52062545,8,1,179.90
52064591,8,4,152.96
52121484,4,15,116.99
52149213,4,16,115.76
52228494,4,8,113.70
52732567,5,4,96.56
52989734,4,6,91.15
53358874,6,4,57.24
53387307,1,4,175.66
53605051,4,5,50.89
53801750,1,16,99.98
53950979,1,15,94.87
54121534,16,4,177.57
54125675,15,4,173.12
54162162,4,1,83.83
54238979,16,5,178.12
54246265,1,8,101.39
54262297,15,5,176.96
54328269,8,4,148.12
54396969,4,15,116.09
54397058,4,16,113.88
54475089,4,8,113.65
54533611,8,5,177.98
55457105,5,16,104.24
55589868,5,15,102.31
55704612,4,6,87.78
55722894,5,8,106.46
55899773,6,4,66.48
55899773,4,6,66.48
55975064,1,5,52.26
56328543,1,4,176.83
56363724,16,4,177.61
56401630,15,4,175.61
56591947,8,4,143.43
56598137,5,4,87.65
56647969,4,16,111.78
56681306,4,15,114.30
56701829,4,5,70.08
56708005,5,1,35.17
56723015,4,8,113.54
56858593,4,1,79.29
58385861,16,6,152.22
58440672,4,6,65.36
58606812,16,4,177.68
58679197,15,4,178.56
58828973,6,5,117.47
58855625,8,4,139.04
58902577,4,16,109.42
58972545,4,8,113.36
58979824,4,15,111.41
59275692,1,4,140.09
59596843,5,4,147.72
59979697,15,6,143.35
60160913,4,1,70.06
60166152,16,5,178.51
60181006,6,4,174.20
60247285,5,6,58.04
60487605,8,5,177.74
60582151,15,5,177.81
60701645,4,5,68.23
60850928,16,4,177.78
60981570,4,6,47.50
60991678,15,4,172.12
61119302,8,4,135.10
61161658,4,16,106.80
61223987,4,8,113.11
61301330,4,15,107.17
61527825,5,16,96.18
61530730,16,1,178.23
61688112,5,8,105.97
62067098,1,4,177.86
62069142,8,1,179.24
62169089,5,15,90.06
62243971,8,6,95.37
62433836,6,16,72.37
62456674,15,1,179.74
62464734,6,8,91.09
62792173,6,4,173.71
62888043,6,1,67.59
62960546,4,1,82.87
63096181,16,4,177.93
63360372,15,4,154.07
63382980,8,4,131.71
63426135,4,16,103.91
63477679,4,8,112.79
63522469,6,4,34.14
63522469,4,6,34.14
63660083,4,15,101.44
63749814,5,4,85.94
64043410,1,6,47.57
64210577,1,16,83.93
64288643,1,8,100.26
64497537,4,5,46.25
65117560,1,4,175.21
65342689,16,4,178.12
65623570,4,1,81.55
65646658,8,4,128.93
65697039,4,16,100.74
65732609,15,4,142.45
65733991,4,8,112.40
66063368,6,4,36.90
66063368,4,6,36.90
66073310,4,15,94.57
66134661,16,5,177.74
66205611,1,15,65.10
66445695,8,5,177.73
67086800,15,5,174.74
67233112,6,5,123.46
67398714,5,4,122.61
67600926,16,4,177.14
67668182,5,8,105.05
67672364,5,16,86.60
67680849,4,5,72.16
67910337,8,4,126.76
67975367,4,16,97.36
67993324,4,8,111.95
68021140,1,4,140.52
68100134,15,4,138.96
68385626,5,6,73.47
68537476,4,15,88.49
68604266,6,4,47.48
68878668,4,1,68.18
69053637,5,15,74.48
69084529,6,15,30.24
69888171,16,4,168.42
70174015,8,4,125.23
70256104,4,8,111.42
70261746,4,16,93.87
70456984,15,4,142.28
70609281,1,5,54.41
70614582,5,4,135.53
70809224,4,6,90.26
70835702,1,4,173.31
71002465,4,15,85.95
71145165,6,4,59.32
71294912,5,1,36.81
71647397,16,1,175.12
71695637,4,5,65.08
71755945,4,1,81.56
72105596,8,1,178.79
72143903,16,5,176.48
72177072,16,4,159.92
72410698,8,5,177.94
72437692,8,4,124.29
72522754,4,8,110.82
72555863,4,16,90.49
72801222,15,4,150.06
73422371,4,15,87.32
73512985,4,6,87.59
73664522,5,8,103.74
73686064,6,4,67.37
73686064,4,6,67.37
73722597,8,16,15.72
73781657,15,5,175.77
73837362,5,16,78.41
73898568,1,4,173.96
74402272,1,8,97.85
74403846,4,1,83.12
74466156,16,4,152.67
74595279,15,1,175.57
74701370,8,4,123.93
74752901,5,4,77.23
74790754,1,16,69.53
74793673,4,8,110.16
74855845,4,16,87.52
75133659,15,4,160.00
75287619,4,5,44.58
75637251,6,5,116.82
75674090,5,15,79.41
75792853,4,15,91.02
76226964,4,6,63.17
76747947,1,4,146.65
76753897,16,4,147.09
76965048,8,4,124.10
77036894,5,6,57.84
77069182,4,8,109.45
77158225,4,16,85.29
77455628,15,4,170.41
77569726,4,1,67.25
77847807,16,6,171.09
77996302,6,4,173.55
78028527,5,4,158.74
78112788,1,15,75.58
78126474,4,15,95.57
78180274,16,5,175.49
78384945,8,5,178.37
78674696,4,5,72.79
78767862,4,6,43.78
79038925,16,4,143.29
79172316,16,8,12.72
79228726,8,4,124.76
79349469,4,8,108.69
79458933,4,16,84.03
79619751,1,4,165.72
79676623,5,8,102.16
79768038,15,4,179.44
79922993,5,16,76.18
80382051,15,5,177.76
80435257,4,15,100.06
80546703,4,1,79.93
80571670,6,4,174.34
81308761,6,4,33.64
81308761,4,6,33.64
81320194,16,4,141.13
81492404,8,4,125.88
81634505,4,8,107.91
81644412,5,4,122.91
81754727,4,16,83.79
81903260,16,1,173.86
81959740,5,15,92.95
82156299,15,4,175.71
82177566,6,1,75.47
82192861,8,1,178.73
82668273,1,4,173.19
82679885,4,5,61.19
82727587,4,15,104.11
82991960,8,6,91.34
83193724,4,1,84.10
83384795,1,6,52.72
83575239,6,8,81.79
83597068,16,4,140.35
83756081,8,4,127.40
83849660,6,4,38.52
83923977,4,8,107.13
84041390,6,5,124.04
84043894,4,16,84.46
84216858,16,5,175.19
84240393,6,16,62.02
84369919,8,5,178.93
84518196,15,4,172.72
84591413,1,8,94.71
84927915,1,16,73.78
85008972,4,15,107.60
85213806,5,6,73.35
85267196,1,5,55.48
85455507,1,4,160.87
85701390,5,8,100.50
85735894,5,4,71.72
85869292,16,4,140.67
85896671,5,16,80.01
85926099,4,5,54.57
85945057,4,6,94.07
86019759,8,4,129.30
86092874,5,1,35.92
86217247,4,8,106.38
86228157,15,1,177.29
86235848,4,1,68.02
86326055,4,16,85.84
86390558,6,4,49.72
86727447,15,6,176.30
86765749,15,5,174.92
86856910,15,4,170.55
87283087,4,15,110.51
88129406,5,15,102.16
88136923,16,4,141.81
88283437,8,4,131.52
88402554,1,4,158.33
88513340,4,8,105.68
88601608,4,16,87.72
88630507,4,6,89.46
88706642,5,4,166.78
88807494,1,15,95.48
88931457,6,4,61.28
89176515,15,4,169.17
89330962,4,1,78.02
89552509,4,15,112.88
89675136,4,5,72.32
90226174,16,5,175.61
90365811,8,5,179.31
90400222,16,4,143.54
90547115,8,4,134.02
90811027,4,8,105.06
90871270,4,16,89.92
91316211,4,6,87.52
91422585,1,4,173.02
91472356,6,4,67.85
91472356,4,6,67.85
91481392,15,4,168.49
91732931,5,8,99.00
91790916,5,16,86.64
91819180,4,15,114.74
91989407,4,1,84.57
92087677,16,1,175.42
92338188,8,1,179.16
92445528,6,5,116.32
92659564,16,4,145.67
92676386,5,4,110.42
92810793,8,4,136.77
93025817,15,5,174.37
93108931,4,8,104.55
93135825,4,16,92.30
93260501,6,15,85.18
93648884,4,5,56.68
93775331,15,4,168.46
93820202,5,6,58.02
94013254,4,6,60.30
94084708,4,15,116.09
94162973,1,4,178.40
94291473,5,15,106.16
94706061,1,16,86.32
94824755,1,8,92.03
94897373,4,1,70.77
94915366,16,4,148.04
95074470,8,4,139.72
95396003,4,16,94.74
95405691,4,8,104.16
95803979,6,4,173.15
96061405,15,4,169.03
96193826,16,5,176.49
96350605,4,15,116.91
96378121,8,5,179.01
96554153,4,6,40.52
96689536,5,4,72.02
96747462,4,5,64.60
97082307,15,1,175.04
97168037,16,4,150.54
97182483,1,4,151.48
97338148,8,4,142.83
97637049,5,16,93.63
97652440,4,16,97.18
97700101,4,8,103.90
97763315,5,8,97.95
98106502,4,1,75.87
98342088,15,4,170.16
98346863,6,4,175.14
98618477,4,15,117.16
98679955,16,6,169.90
99095052,6,4,33.67
99095052,4,6,33.67
99252316,15,5,175.82
99417966,16,4,153.11
99568634,1,15,97.04
99594139,5,4,160.24
99601826,8,4,146.06
99905678,4,16,99.55
99991203,4,8,103.78
100058656,1,5,51.41
100156890,1,4,173.52
100528670,5,15,105.00
100619462,15,4,171.83
100677354,4,5,70.92
100691580,5,1,35.85
100788222,4,1,84.58
100849669,6,5,124.51
100890283,4,15,116.74
100938184,16,15,167.85
101354095,6,1,82.71
101635950,6,4,40.34
101665496,16,4,155.68
101865504,8,4,149.36
102044307,5,6,73.05
102073393,16,1,178.15
102119099,16,5,177.47
102156168,4,16,101.83
102278337,4,8,103.79
102401970,8,5,178.75
102524927,8,1,179.96
102792202,1,6,54.02
102895397,15,4,174.02
102961446,1,4,179.67
103168696,4,15,115.52
103406876,6,16,89.82
103453608,5,16,99.95
103585469,4,1,74.46
103704321,5,4,98.50
103739951,8,6,102.28
103746537,4,6,93.30
103784426,5,8,97.57
103910929,16,4,158.21
104129182,8,4,152.68
104176849,6,4,51.97
104331191,1,16,97.64
104404290,4,16,104.00
104561126,4,8,103.92
104593669,4,5,51.74
105037587,1,8,91.28
105171734,15,4,176.70
105367791,6,8,77.76
105457717,4,15,113.33
105522158,15,5,178.16
105957120,1,4,145.58
106154528,16,4,160.68
106392859,8,4,155.98
106451434,4,6,88.79
106650355,4,16,106.04
106717748,6,4,63.08
106839446,4,8,104.16
106870567,4,1,73.55
106959591,5,15,96.94
107450496,15,4,179.79
107596577,5,4,83.82
107683675,4,5,69.53
107763789,4,15,109.95
108008082,16,5,178.27
108029240,15,1,178.75
108396519,16,4,163.08
108424444,8,5,178.69
108656539,8,4,159.22
108867482,1,4,174.76
108894630,4,16,107.96
109113366,4,8,104.50
109114297,4,6,87.53
109251227,5,16,105.30
109253807,6,5,115.98
109258646,6,4,67.84
109258646,4,6,67.84
109588134,4,1,84.18
109790203,5,8,97.92
109796254,15,4,164.70
110097621,4,15,105.14
110571935,5,4,149.69
110598172,5,6,58.59
110637097,16,4,165.40
110920217,8,4,162.34
111137340,4,16,109.75
111383090,4,8,104.93
111433101,1,15,72.96
111677756,4,5,68.69
111757708,1,4,177.75
111799545,4,6,56.86
111885471,16,1,179.32
111928115,15,5,176.07
112167286,15,4,148.65
112310573,4,1,77.85
112475579,4,15,98.86
112713730,8,1,179.22
112876425,16,4,167.64
113183894,8,4,165.28
113378668,4,16,111.43
113604108,6,4,173.02
113648916,4,8,105.42
113735688,5,15,80.58
113868276,16,5,178.54
113885098,1,16,106.04
114340444,4,6,37.86
114406378,8,5,177.72
114538635,15,4,140.17
114599598,1,5,57.17
114723206,1,4,141.31
114723500,5,4,87.64
114911396,4,15,91.97
115036355,5,16,109.71
115114655,16,4,169.79
115176142,1,8,92.83
115410978,5,1,36.81
115447572,8,4,167.98
115496492,4,5,46.96
115618778,4,16,112.98
115619638,4,1,71.19
115778014,5,8,98.90
115911183,4,8,105.97
116094850,15,16,91.63
116118477,6,4,176.06
116881343,6,4,34.18
116881343,4,6,34.18
116902535,15,4,139.55
117351902,16,4,171.85
117383438,4,15,87.00
117555397,1,4,176.69
117657946,6,5,124.87
117711250,8,4,170.37
117857810,4,16,114.43
118170255,4,8,106.56
118212168,16,6,170.90
118387433,4,1,83.40
118418612,5,4,115.47
118478269,15,6,93.70
118553822,15,5,174.48
118658816,4,5,71.92
118876596,5,6,72.57
119254552,15,4,144.89
119422241,6,4,42.32
119588280,16,4,173.81
119706373,16,5,178.23
119834009,4,15,86.08
119960339,15,1,175.00
119974928,8,4,172.33
120095881,4,16,115.77
120409426,8,5,177.86
120426492,4,8,107.17
120549305,5,15,74.45
120549745,1,4,176.00
120598223,6,1,86.80
120813192,5,16,113.30
121064742,4,1,80.50
121554419,4,6,92.43
121581609,16,1,177.33
121586100,5,4,137.65
121594081,15,4,153.74
121748519,5,8,100.30
121823889,16,4,175.65
121963142,6,4,54.20
122023033,6,16,105.64
122233820,4,15,88.56
122238606,8,4,173.73
122333099,4,16,117.01
122399781,1,6,50.26
122672986,4,5,65.67
122680241,4,8,107.80
122863997,8,1,178.75
123403647,1,16,111.98
123476704,1,4,139.74
123487539,6,15,48.94
123752907,1,15,69.56
123922350,15,4,164.02
124058811,16,4,177.28
124270098,4,6,88.26
124349231,4,1,69.05
124487941,8,6,113.20
124502284,8,4,174.48
124504040,6,4,64.68
124504040,4,6,64.68
124569554,4,16,118.16
124588478,4,15,92.74
124931824,4,8,108.44
125232428,1,8,95.71
125236941,15,5,177.95
125527767,16,5,177.69
125729363,5,4,78.53
126062085,6,5,115.80
126096242,6,8,85.89
126240543,15,4,174.31
126269422,1,4,176.94
126293120,16,4,178.26
126311307,4,5,44.35
126402579,8,5,178.26
126584686,5,16,116.19
126765961,8,4,174.65
126805325,4,16,119.22
126911307,4,15,97.33
126956287,5,15,86.90
127044939,6,4,67.26
127044939,4,6,67.26
127140309,15,8,60.00
127181550,4,8,109.07
127184544,4,1,82.26
127372327,5,6,59.51
127704651,5,8,101.87
128087018,8,15,55.39
128526888,16,4,177.72
128549495,15,4,176.04
129031711,8,4,174.47
129040485,4,16,120.21
129077534,5,4,154.36
129212944,4,15,101.68
129335177,1,4,174.54
129417250,1,5,51.98
129429688,4,8,109.68
129585838,4,6,53.03
129650872,4,5,72.76
129838136,4,1,82.40
130136939,5,1,35.16
130760174,16,4,176.36
130962121,15,4,174.46
131205223,16,1,175.87
131275100,4,16,121.11
131299907,8,4,174.30
131336686,16,5,177.13
131397214,6,4,173.15
131500526,4,15,105.52
131676496,4,8,110.27
131714427,15,5,176.01
131849923,15,1,178.51
132126736,4,6,35.85
132213328,1,4,142.66
132353048,5,16,118.50
132384875,8,5,178.82
132614730,5,4,125.07
132906405,1,16,116.09
132956620,8,1,178.76
132993037,16,4,174.82
133054242,4,1,67.55
133161670,5,15,98.56
133314705,15,4,171.79
133509226,4,16,121.95
133564632,8,4,174.23
133650474,5,8,103.39
133659223,4,5,61.90
133778748,4,15,108.79
133887148,6,4,177.07
133922209,4,8,110.82
134466223,6,5,125.10
134539815,1,15,93.00
134667635,6,4,35.08
134667635,4,6,35.08
135053712,1,4,169.57
135230832,1,8,98.60
135284448,16,4,178.74
135645524,15,4,169.93
135710143,5,6,71.93
135742916,4,16,122.72
135826181,8,4,174.26
135977871,4,1,80.79
136050794,4,15,111.49
136167041,4,8,111.34
136716304,5,4,72.34
136957288,4,5,52.18
136982094,16,6,172.88
137136459,16,5,176.64
137208534,6,4,44.42
137530808,16,4,178.87
137958959,15,4,168.82
137976216,4,16,123.42
138019029,15,5,174.34
138084861,8,4,174.38
138111070,1,4,173.51
138120076,5,16,120.32
138318948,4,15,113.66
138356851,8,5,179.29
138411190,4,8,111.82
138623718,4,1,83.67
139317091,5,15,104.91
139368103,4,6,91.51
139590435,5,8,104.71
139718792,5,4,166.99
139749433,6,4,56.39
139776326,16,4,178.99
140031365,15,6,173.06
140093659,6,1,85.35
140209174,4,16,124.07
140259216,15,4,168.40
140348028,8,4,174.51
140513775,6,16,113.15
140584998,4,15,115.32
140650586,4,5,72.47
140654851,4,8,112.24
140784976,16,1,174.85
140930354,1,4,152.57
141731907,4,1,67.37
142021047,16,4,179.13
142085059,4,6,87.89
142290331,6,4,66.03
142290331,4,6,66.03
142375545,1,6,40.84
142406598,1,16,118.82
142441828,4,16,124.66
142549798,15,4,168.61
142611711,8,4,174.14
142780229,15,1,175.02
142850490,4,15,116.47
142870362,6,5,115.79
142898203,4,8,112.62
142929767,16,5,176.21
142997018,8,1,179.18
143646843,5,4,112.52
143837305,1,4,162.03
143887333,5,16,121.72
144033900,1,5,54.83
144144587,5,6,60.72
144252505,15,5,174.94
144265024,16,4,179.26
144320160,8,5,179.16
144631319,4,5,57.48
144674217,4,16,125.19
144732528,5,1,36.87
144765674,4,1,79.02
144831230,4,6,66.03
144833527,15,4,169.40
144875384,8,4,172.82
145116943,4,15,117.08
145141426,4,8,112.95
145204842,1,8,100.65
145226529,1,15,98.22
145235932,8,6,109.42
145508090,5,15,106.24
145528965,5,8,105.72
146113310,6,8,92.31
146508295,16,4,179.39
146558095,6,4,174.53
146691247,6,15,83.07
146873742,1,4,173.03
146906378,4,16,125.67
147112706,15,4,170.74
147139062,8,4,170.46
147372129,4,6,49.05
147384690,4,8,113.22
147386070,4,15,117.08
147416849,4,1,84.39
147675847,5,4,71.37
147741629,4,5,63.36
148718857,16,5,175.86
148750905,16,4,179.52
149138346,4,16,126.10
149184056,6,4,173.51
149389309,15,4,172.62
149402745,8,4,167.21
149628179,4,8,113.43
149630322,1,4,170.77
149656302,5,16,122.74
149660051,4,15,116.37
149913027,6,4,34.50
149913027,4,6,34.50
150277178,8,5,178.65
150340570,16,1,174.20
150391827,4,1,69.16
150491179,15,5,177.14
150580292,5,4,161.75
150992902,16,4,179.65
151274501,6,5,125.17
151370148,4,16,126.48
151470328,5,8,106.34
151652772,4,5,71.22
151665172,15,4,175.00
151666417,8,4,163.27
151829828,5,15,101.75
151872072,4,8,113.58
151915296,1,16,120.45
151941973,4,15,114.80
152453926,6,4,36.33
152453926,4,6,36.33
152544407,5,6,71.13
152618940,1,4,154.86
153005316,8,1,179.84
153234332,16,4,179.79
153545938,4,1,76.98
153601822,4,16,126.82
153644813,15,1,177.48
153930095,8,4,158.83
153942184,15,4,177.85
154116562,4,8,113.67
154236614,4,15,112.18
154535304,16,5,175.97
154675819,5,4,100.47
154994825,6,4,46.60
155187272,1,8,101.45
155428479,5,16,123.42
155475224,16,4,179.92
155581123,4,5,52.59
155618769,1,4,173.18
155695615,16,6,172.39
155833394,4,16,127.10
156193773,8,4,154.09
156214361,4,1,84.63
156230717,8,5,178.16
156235299,15,4,176.61
156361855,4,8,113.70
156551806,4,15,108.27
156733583,1,15,80.83
156820581,15,5,177.62
157186302,4,6,90.60
157418560,5,8,106.53
157535723,6,4,58.51
157715632,16,4,179.95
158064900,4,16,127.34
158388171,1,4,179.35
158434635,5,15,88.85
158457451,8,4,149.25
158592670,5,4,80.61
158602082,15,4,157.80
158608175,4,8,113.67
158666561,4,5,68.92
158711264,1,5,55.13
158900438,4,15,102.88
159049599,6,16,115.68
159063333,4,1,72.56
159531047,5,1,35.80
159678642,6,5,115.93
159887080,16,1,173.88
159895403,4,6,87.65
159955594,16,4,179.82
160076622,6,4,67.06
160076622,4,6,67.06
160086702,6,1,76.15
160296365,4,16,127.54
160319703,16,5,175.70
160721131,8,4,144.51
160855765,4,8,113.57
160917039,5,6,62.14
160974245,15,4,144.39
161205471,5,16,123.77
161300049,4,15,96.18
161396614,1,4,148.42
161443867,1,16,121.10
161548017,5,4,151.63
162183792,8,5,177.83
162195146,16,4,179.68
162286584,16,15,170.82
162316206,4,1,74.74
162501175,1,6,33.66
162527825,4,16,127.69
162617521,4,6,64.12
162653718,4,5,69.13
162984806,8,4,140.04
163007369,8,1,179.47
163104892,4,8,113.40
163341548,15,5,174.60
163343515,15,4,139.08
163377325,5,8,106.27
163755433,4,15,89.66
164341662,1,4,174.04
164376266,6,4,173.77
164434327,16,4,179.55
164759305,4,16,127.79
165013946,4,1,84.43
